"","subj_idx","gender","year","rt","correct_response","correct","key_press","word","shape","condition"
"312",1,1,"2001",573,"arrowright","true","arrowright","自我","自我","matching_task"
"313",1,1,"2001",999,"arrowright","true","arrowright","生人","生人","matching_task"
"314",1,1,"2001",860,"arrowleft","true","arrowleft","生人","自我","matching_task"
"315",1,1,"2001",683,"arrowright","true","arrowright","自我","自我","matching_task"
"316",1,1,"2001",636,"arrowright","true","arrowright","自我","自我","matching_task"
"317",1,1,"2001",NA,"arrowleft","false","null","朋友","自我","matching_task"
"318",1,1,"2001",NA,"arrowleft","false","null","自我","生人","matching_task"
"319",1,1,"2001",679,"arrowleft","true","arrowleft","朋友","生人","matching_task"
"320",1,1,"2001",780,"arrowright","true","arrowright","朋友","朋友","matching_task"
"321",1,1,"2001",NA,"arrowleft","false","null","自我","朋友","matching_task"
"322",1,1,"2001",684,"arrowright","true","arrowright","朋友","朋友","matching_task"
"323",1,1,"2001",667,"arrowright","false","arrowleft","生人","生人","matching_task"
"324",1,1,"2001",983,"arrowleft","true","arrowleft","生人","朋友","matching_task"
"325",1,1,"2001",757,"arrowright","false","arrowleft","生人","生人","matching_task"
"326",1,1,"2001",1046,"arrowleft","true","arrowleft","自我","生人","matching_task"
"327",1,1,"2001",619,"arrowright","true","arrowright","自我","自我","matching_task"
"328",1,1,"2001",907,"arrowright","true","arrowright","朋友","朋友","matching_task"
"329",1,1,"2001",730,"arrowleft","true","arrowleft","生人","自我","matching_task"
"330",1,1,"2001",778,"arrowright","true","arrowright","朋友","朋友","matching_task"
"331",1,1,"2001",793,"arrowright","true","arrowright","生人","生人","matching_task"
"332",1,1,"2001",600,"arrowright","true","arrowright","自我","自我","matching_task"
"333",1,1,"2001",842,"arrowleft","true","arrowleft","朋友","自我","matching_task"
"334",1,1,"2001",951,"arrowleft","true","arrowleft","朋友","生人","matching_task"
"335",1,1,"2001",886,"arrowleft","true","arrowleft","生人","朋友","matching_task"
"336",1,1,"2001",790,"arrowleft","true","arrowleft","自我","朋友","matching_task"
"337",1,1,"2001",658,"arrowleft","true","arrowleft","自我","生人","matching_task"
"338",1,1,"2001",732,"arrowleft","true","arrowleft","生人","自我","matching_task"
"339",1,1,"2001",852,"arrowleft","true","arrowleft","朋友","生人","matching_task"
"340",1,1,"2001",826,"arrowright","true","arrowright","生人","生人","matching_task"
"341",1,1,"2001",649,"arrowright","true","arrowright","自我","自我","matching_task"
"342",1,1,"2001",844,"arrowright","true","arrowright","朋友","朋友","matching_task"
"343",1,1,"2001",628,"arrowright","true","arrowright","自我","自我","matching_task"
"344",1,1,"2001",797,"arrowleft","true","arrowleft","生人","朋友","matching_task"
"345",1,1,"2001",1022,"arrowleft","false","arrowright","朋友","自我","matching_task"
"346",1,1,"2001",788,"arrowright","true","arrowright","生人","生人","matching_task"
